,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Furnish Type,Price
23,City View Studio @ Green Bay Pluit Apartment By Travelio,0,1,21,2,2200,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2027803
24,Comfort and Strategic Studio Westmark Apartment By Travelio,0,1,29,2,1300,"Jalan Tanjung Duren Timur II No.30, RT.12/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",1,Full Furnished,4500000
25,Cozy and Elegant 3BR Apartment for 6 Pax at Taman Rasuna By Travelio,3,2,89,6,1,"Kompleks Epicentrum, Jalan H TR. Rasuna Said, RT.16/RW.1, Karet Kuningan, Menteng Atas, Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,Full Furnished,8899999
26,Green Bay Pluit Studio Apartment with 2 Single Beds By Travelio,0,1,21,2,2200,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2888627
27,Blue Studio Apartment at Green Bay Pluit By Travelio,0,1,21,2,2200,"Jalan Pluit Karang Ayu B1 Utara, Pluit, Penjaringan, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2896861
28,Compact and Cozy Studio Room Green Bay Pluit Apartment By Travelio,0,1,21,2,1300,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2901377
29,Minimalist and Cozy 2BR Apartment at Casablanca East Residence By Travelio,2,1,38,3,2200,"Jalan Pahlawan Revolusi No.2, RT.1/RW.2, Pd. Bambu, Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",1,Full Furnished,2999999
30,Comfy Studio Room at Tifolia Apartment By Travelio,0,1,21,2,900,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3103224
31,New and Fresh Studio Apartment at Sentraland Cengkareng By Travelio,0,1,22,2,1300,"Jl. Kapuk Cengkareng, RT.22/RW.16, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,Full Furnished,2610999
32,Minimalist and Fully Furnished Studio Tifolia Apartment By Travelio,0,1,21,2,900,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3118374
