,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Furnish Type,Price
91,Comfy Strategic 2BR at Puri Park View Apartment By Travelio,2,1,35,3,1300,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,3762499
92,Comfy and Minimalist Studio at Amethyst Apartment By Travelio,0,1,32,2,1300,"Jalan Rajawali Selatan 2 No.1B, Kemayoran, RT.16/RW.2, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",1,Full Furnished,3763888
93,Elegant Studio Apartment at Pasar Baru Mansion By Travelio,0,1,31,2,1300,"Jl. Pintu Air V No.53, RT.5/RW.8, Ps. Baru, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11710",1,Full Furnished,3776030
94,Cozy and Simply 1BR Green Pramuka Apartment By Travelio,1,1,33,2,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3631249
95,Homey 2BR at Bassura City Apartment By Travelio,2,1,34,3,2200,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,Full Furnished,2786228
96,Studio Green Pramuka City Apartment with Mall Access By Travelio,0,1,33,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3795405
97,Comfy Studio Apartment @ Green Pramuka City By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3799999
98,Cozy and Modern Studio Apartment at Belmont Residence Puri By Travelio,0,1,32,2,900,"Jalan Lapangan Bola, Meruya Ilir, RT.8/RW.7, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,3800000
99,Cozy Living 1BR at Tifolia Apartment By Travelio,1,1,45,2,2200,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3800000
100,Simply and Homey Studio at Green Pramuka Apartment By Travelio,0,1,21,2,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3800000
101,Minimalist 2BR Apartment at Puri Park View By Travelio,2,1,35,3,1300,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,3812249
102,2BR Puri Park View Apartment with Balcony By Travelio,2,1,35,3,2200,"Jalan Pesanggrahan Raya No. 88, Meruya Utara, Kembangan, Jakarta Barat",1,Full Furnished,3812249
103,Cozy and Elegant 1BR Apartment at Mediterania Boulevard By Travelio,1,1,51,2,1,"Jl. Landas Pacu Utara Selatan Blok A1 No. 2, Kebon Kosong, Kemayoran, Jakarta Pusat 10630",1,Full Furnished,3824999
104,Fresh and Bright Studio Room at Nifarro Park Apartment By Travelio,1,1,26,2,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3335199
105,Cozy Stay at 2BR Puri Park View Apartment By Travelio,2,1,35,3,2200,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,3337749
106,Minimalist 2BR Apartment at Gading Mediterania Residence By Travelio,2,1,36,3,2200,"Gading Mediterania Residences, Jl. Bukit Gading Mediterania, Klp. Gading Bar., Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia",1,Full Furnished,3700499
107,Compact 2BR Northland Apartment Near Ancol By Travelio,2,1,30,5,3500,"Jl. Laksamana R. E. Martadinata No.26, RT.11 / RW.11, Pademangan Barat, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,3850624
108,Lavish Studio at Puri Mansion Apartment By Travelio,0,1,21,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,3855599
109,Clean and Tidy Studio Puri Mansion Apartment By Travelio,0,1,21,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,3855599
110,Homey 1BR at Puri Kemayoran Apartment By Travelio,1,1,42,2,1,"Jalan Landas Pacu Selatan No. A6, Kemayoran, RT.13/RW.6, Kb. Kosong, Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",1,Full Furnished,3862499
111,Best and Strategic Nifarro Park Studio Apartment By Travelio,0,1,26,2,1300,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,3879999
112,Good View 2BR Grand Emerald Apartment By Travelio,2,1,35,4,1300,"Jl. Pegangsaan Dua, RT 02/RW 03, Pegangsaan Dua, Kelapa Gading, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14250",1,Full Furnished,3474999
113,Cozy Living 1BR + 1 Apartment at Seasons City By Travelio,1,1,45,2,2200,"Jl. Prof. Dr. Latumenten No.33, Jembatan Besi, Tambora, RT.13/RW.1, Jemb. Besi, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320",1,Full Furnished,3977999
114,Best Price 2BR Green Pramuka Apartment By Travelio,2,1,33,4,2200,"Jl. Jendral Ahmad Yani Kav. 49 Cempaka Putih, 10570",1,Full Furnished,3999000
115,Simply Furnished 2BR Apartment at Puri Park View By Travelio,2,1,35,3,1300,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,3999999
116,1 Bedroom Comfort Apartment The Mansion Kemayoran By Travelio,1,1,35,2,5500,"Jl Trembesi Blok D, Kompleks Bandar Baru, Kemayoran, Pademangan Tim., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Kemayoran, Jakarta, DKI Jakarta 14410",1,Full Furnished,3999999
117,New Furnished Studio at Signature Park Grande Apartment By Travelio,0,1,20,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4000000
118,Comfort and Modern Studio at West Vista Apartment By Travelio,0,1,34,2,3500,"Jalan Lingkar Luar No.8, Duri Kosambi, Cengkareng, RT.6/RW.8, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,Full Furnished,4000000
119,Good Choice 1BR Pangeran Jayakarta Apartment By Travelio,1,1,34,2,1,"Jl. Pangeran Jayakarta, No. 73, RT.7/RW.7, Mangga Dua Selatan Sawah Besar, Jakarta Pusat, DKI Jakarta 10730",1,Full Furnished,4012499
120,Simply 1BR Pangeran Jayakarta Apartment By Travelio,1,1,34,2,1,"Jl. Pangeran Jayakarta, No. 73, RT.7/RW.7, Mangga Dua Selatan Sawah Besar, Jakarta Pusat, DKI Jakarta 10730",1,Full Furnished,4024999
121,2BR Comfy Bassura City Apartment By Travelio,2,1,30,4,1300,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,Full Furnished,4050000
122,Chic and Strategic Studio at Puri Mansion Apartment By Travelio,0,1,26,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,4080242
123,Best Location Studio Apartment at Puri Mansion By Travelio,0,1,26,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,4080242
124,Relaxing Studio Puri Mansion Apartment By Travelio,0,1,26,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, RT.2/RW.1, Kembangan Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,4080242
125,Minimalist Comfy Studio @ Puri Mansion Apartment By Travelio,0,1,26,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,4080242
126,Modern Studio Apartment Puri Mansion By Travelio,0,1,26,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,3930242
127,Elegant Studio with Modern Design at Puri Mansion Apartment By Travelio,0,1,26,2,2200,"Jalan Lingkar Luar, RT.2/RW.1, Kembangan Selatan, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",1,Full Furnished,4080242
128,Easy Access to Mall 2BR Green Pramuka Apartment By Travelio,2,1,28,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4099124
129,Cozy Stay at 2BR Green Pramuka Apartment near Shopping Center By Travelio,0,1,33,4,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4100000
130,Cozy Stay and Relax @ Studio Pakubuwono Terrace Apartment By Travelio,0,1,22,2,1300,"Jl. Ciledug Raya No.99B, RT.12/RW.5, Cipulir, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230",1,Full Furnished,4103124
131,Comfortable 1BR Apartment at Vittoria Residence By Travelio,1,1,33,2,2200,"Jl. Daan Mogot, RT.9/RW.3, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,Full Furnished,4105499
132,2BR for 3 Pax Mediterania Marina Ancol Apartment By Travelio,2,1,43,3,2200,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,Full Furnished,4111638
133,Simple Furnished Studio Apartment at Maple Park By Travelio,0,1,23,2,1600,"Jalan HBR Motik No.2, RT.18/RW.5, Sunter Agung, Kota Jkt Utara, 14350",1,Full Furnished,4118749
134,Comfortable Studio Room at Signature Park Grande Apartment By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4123213
135,Simple and Cozy Living 2BR at Green Pramuka City Apartment By Travelio,2,1,33,3,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3623947
136,Comfy 2BR Green Bay Pluit Apartment By Travelio,2,1,35,3,3500,"Jalan Pluit Karang Ayu B1 Utara, Pluit, Penjaringan, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,4130846
137,Cozy and Lovely 2BR Green Bay Pluit Apartment By Travelio,2,1,35,3,3500,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,4139918
138,Comfy City View 1BR Apartment Menteng Square By Travelio,1,1,30,2,1,"Jl. Pramuka Sari II No.28, RT.5/RW.6, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",1,Full Furnished,4140999
139,Modern Style Studio Gardenia Boulevard Apartment with City View By Travelio,0,1,33,2,1300,"Jl. Warung Jati Barat No.12, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",1,Full Furnished,4143749
140,Green Bay Pluit 2BR Apartment With Direct Access To Shopping Center By Travelio,2,1,33,4,3500,"Jalan Pluit Karang Ayu 1 No.B1, RT.20/RW.2, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,4144983
141,Cozy and Modern Signature Park Grande Studio Apartment By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4155642
142,2BR Apartment Green Bay with Direct Access to Baywalk Mall By Travelio,2,1,35,3,3500,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,4155846
143,Comfort 2BR at Northland Ancol Apartment By Travelio,2,1,41,3,2200,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,3656249
144,Comfy 2BR at Northland Ancol Apartment By Travelio,2,1,41,3,2200,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,3656249
145,Spacious 2BR at Northland Ancol Apartment By Travelio,2,1,41,3,2200,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,3656249
146,City View Studio Apartment at Signature Park Grande By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4017785
147,Cozy Studio Apartment at Signature Park Grande By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4171948
148,Comfortable 2BR Apartment at Kebagusan City By Travelio,2,1,35,4,2300,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,4177642
149,Fully Furnished 1BR Apartment at Vittoria Residence By Travelio,1,1,36,2,2500,"Jl. Daan Mogot No.Km. 13.8 9 3, RT.9/RW.3, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,Full Furnished,4181710
150,Homey and Minimalist 2BR at Oak Tower Apartment By Travelio,2,1,42,3,2200,"Jl. Perintis Kemerdekaan Kav. 99, Pulo Gadung, RT.3/RW.2, Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260",1,Full Furnished,4187577
151,Fully Furnished and Cozy 2BR at Green Pramuka City Apartment By Travelio,2,1,33,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4199391
152,Simply Modern Classic Studio at Nifarro Apartment By Travelio,0,1,26,2,2200,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,Full Furnished,4200000
153,Modern Studio Apartment 27th on Top of Green Pramuka Mall By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4200000
154,Modern Studio Apartment 26th on Top of Green Pramuka Mall By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4200000
155,Exclusive and Spacious Studio at Puri Orchard Apartment By Travelio,0,1,35,2,2200,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,Full Furnished,4200000
156,Simply Studio at Signature Park Grande Apartment By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4205677
157,Homey and Comfy Studio Signature Park Grande Apartment By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4205677
158,Brand New 2BR Apartment at Northland Ancol Residence By Travelio,2,1,41,3,3500,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,4210436
159,Modern Studio at Signature Park Grande Apartment By Travelio,0,1,26,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4061338
160,Cozy 2BR Kebagusan City Apartment By Travelio,2,1,38,3,2200,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,4220721
161,Best Price and Minimalist 2BR Kebagusan City Apartment By Travelio,2,1,38,4,2200,"Jalan Baung III No.16, Kebagusan, Pasar Minggu, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,4220969
162,2 BR Pool View Green Pramuka Apartment By Travelio,2,1,33,3,2200,"Jln. A. Yani Kav. 49 RT.13/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4228760
163,Spacious and Comfortable 2BR Green Bay Pluit Apartment By Travelio,2,1,36,3,3500,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,4229708
164,Comfortable 2BR Green Pramuka Apartment By Travelio,2,1,32,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4234522
165,Fully Furnished with Comfortable Design Studio Signature Park Grande Apartment By Travelio,0,1,25,2,2300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4234713
166,Great 2BR at Green Pramuka Apartment By Travelio,2,1,33,4,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4235072
167,Minimalist Signature Park Grande Studio Apartment with City View at By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4238755
168,Great Choice 2BR Apartment at Northland Ancol Residence By Travelio,2,1,41,3,2200,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,3739374
169,Best Location 2BR Apartment at Northland Ancol Residence By Travelio,2,1,41,3,2200,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,Full Furnished,3739374
170,Cozy and Relax @ 2BR Green Pramuka City Apartment By Travelio,2,1,33,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4241385
171,Gorgeous 2BR Green Pramuka Apartment By Travelio,2,1,34,3,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4243638
172,2BR with Mall Access at Green Pramuka City Apartment By Travelio,2,1,33,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4270629
173,Homey and Relaxing 2BR Green Pramuka Apartment By Travelio,2,1,33,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4270629
174,2 BR Apartment Green Pramuka City By Travelio,2,1,33,4,2200,"Jalan Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta 10570, Indonesia",1,Full Furnished,4270629
175,1BR Queen Bed Apartment near Dufan at Ancol Marina By Travelio,1,1,54,2,5500,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,Full Furnished,4275327
176,Tidy 2BR with Modern Design Green Pramuka City Apartment By Travelio,2,1,33,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4283379
177,Cozy 2BR Green Pramuka with Great City View Apartment By Travelio,2,1,33,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4283379
178,Brand New Studio Room at Sedayu City Suites Apartment By Travelio,0,1,28,2,1300,"Jl. Boulevard Sedayu Kelapa Gading, Kelapa Gading, Jakarta Utara, DKI Jakarta",1,Full Furnished,4283999
179,Cozy 1BR Mediterania Boulevard Apartment By Travelio,1,1,31,2,1,"Jl. Landas Pacu Utara Selatan Blok A1 No. 2, Kebon Kosong, Kemayoran, Jakarta Pusat 10630",1,Full Furnished,4284000
180,Comfort Green Pramuka 2BR Apartment By Travelio,2,1,34,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4286074
181,Homey and Fresh 2BR Green Pramuka Apartment By Travelio,2,1,33,4,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4289754
182,Fully Furnished Modern Minimalist 2BR @ Puri Park View Apartment By Travelio,2,1,35,3,3500,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,4300000
183,Comfy and Minimalist Studio at Pakubuwono Terrace Apartment By Travelio,0,1,22,2,2200,"Jl. Ciledug Raya No.99B, RT.12/RW.5, Cipulir, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230",1,Full Furnished,4300000
184,Best and Sophisticated 2BR Puri Park View Apartment By Travelio,2,1,33,3,2200,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,Full Furnished,4300000
185,Comfort Studio Apartment Woodland Park Residence By Travelio,0,1,27,2,1300,"Jl. Raya Kalibata, RT.9/RW.4, Rawajati, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750",1,Full Furnished,4312499
186,Sea View 2BR Apartment at Green Bay Pluit By Travelio,2,1,37,3,3500,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,4314994
187,1BR Queen Bed at Ancol Marina Apartment near Dufan By Travelio,1,1,54,2,5500,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,Full Furnished,4318080
188,Nice and Spacious 2BR Green Pramuka City Apartment By Travelio,2,1,34,3,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3819485
189,Pool View 1BR Salemba Residence By Travelio,1,1,38,2,2200,"Jl. Salemba Tengah II No.10, RT.5/RW.8, Paseban, Senen, Daerah Khusus Ibukota, Daerah Khusus Ibukota Jakarta 10440",1,Full Furnished,4324999
190,Best Location 2BR Green Pramuka Apartment By Travelio,2,1,36,4,2200,"Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,4342328
191,2BR Centro City Residences Daan Mogot By Travelio,2,1,40,4,1,"Jl. Macan Daan Mogot RT 10/ RW 1, Kedoya Utara, Kebon Jeruk, Jakarta Barat 11510",-1,Full Furnished,4345199
192,Cozy Studio with City View Signature Park Grande Apartment By Travelio,0,1,25,2,1300,"Jl. Letjen M.T. Haryono No.20, RT.4/RW.1, Cawang, Kramatjati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",1,Full Furnished,4355624
193,Relaxing Studio Signature Park Apartment By Travelio,0,1,19,2,2200,"Jl. Letjen M.T. Haryono No.23, RT.10/RW.9, Tebet Tim., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",1,Full Furnished,4362499
